2022.02.21,08:10,1891.73,1892.99,1891.09,1891.09,381
2022.02.21,08:15,1891.11,1891.28,1889.52,1889.92,405
2022.02.21,08:20,1889.98,1890.45,1889.02,1889.19,384
2022.02.21,08:25,1889.21,1890.43,1889.19,1890.13,347
2022.02.21,08:30,1890.08,1890.22,1889.06,1889.19,262
2022.02.21,08:35,1889.19,1889.79,1888.79,1889.74,215
2022.02.21,08:40,1889.70,1890.23,1889.42,1890.10,215
2022.02.21,08:45,1890.15,1890.56,1889.86,1890.41,293
2022.02.21,08:50,1890.42,1890.47,1889.00,1889.03,267
2022.02.21,08:55,1889.07,1889.26,1887.75,1887.95,371
2022.02.21,09,1887.89,1889.30,1887.63,1889.06,454
2022.02.21,09:05,1889.03,1889.03,1888.07,1888.70,380
2022.02.21,09:10,1888.70,1889.24,1887.97,1888.54,391
2022.02.21,09:15,1888.54,1888.61,1887.79,1888.09,339
2022.02.21,09:20,1888.10,1889.51,1887.62,1889.49,405
2022.02.21,09:25,1889.49,1890.63,1889.17,1890.39,392
2022.02.21,09:30,1890.39,1891.77,1890.18,1891.08,464
2022.02.21,09:35,1891.08,1892.59,1891.04,1891.98,469
2022.02.21,09:40,1891.94,1891.97,1890.78,1890.89,285
2022.02.21,09:45,1890.90,1891.70,1890.69,1891.67,302
2022.02.21,09:50,1891.64,1892.54,1891.59,1892.31,293
2022.02.21,09:55,1892.28,1892.72,1891.44,1891.61,345
2022.02.21,10,1891.70,1892.42,1891.36,1891.39,381
2022.02.21,10:05,1891.39,1892.09,1891.27,1891.80,296
2022.02.21,10:10,1891.80,1894.34,1891.64,1893.51,396
2022.02.21,10:15,1893.53,1894.11,1892.20,1893.22,437
2022.02.21,10:20,1893.22,1893.80,1892.96,1893.68,207
2022.02.21,10:25,1893.72,1893.79,1893.40,1893.45,208
2022.02.21,10:30,1893.45,1894.89,1893.01,1893.50,440
2022.02.21,10:35,1893.51,1896.50,1893.37,1896.02,991
2022.02.21,10:40,1896.04,1896.77,1895.28,1895.72,453
2022.02.21,10:45,1895.72,1895.97,1895.28,1895.79,304
2022.02.21,10:50,1895.79,1897.70,1895.48,1897.66,456
2022.02.21,10:55,1897.66,1897.73,1896.05,1896.05,481
2022.02.21,11,1896.05,1896.63,1895.66,1896.56,415
